num,logits[5],logits[0],distance(5->0)
1,7.167857063450356e-08,5.86368464894349e-08,1.3041724145068656e-08
2,8.239968337875325e-06,4.069314309163019e-05,3.2453174753754865e-05
3,7.162419706219225e-07,2.513583012841991e-06,1.7973410422200686e-06
4,1.5798532331245951e-06,1.2506061466410756e-06,3.292470864835195e-07
5,0.00014010656741447747,0.00010090140858665109,3.920515882782638e-05
6,2.3904792101347994e-07,3.825966743420395e-08,2.00788253579276e-07
7,1.2581527698785067e-05,4.358438673079945e-06,8.223089025705121e-06
8,3.4712090268840257e-07,2.3740915366943227e-06,2.02697063400592e-06
9,6.615224992856383e-05,4.749596701003611e-05,1.8656282918527722e-05
10,4.512342002271907e-06,1.3895922847950715e-06,3.122749717476836e-06
11,5.17090984430979e-06,1.1345758139214013e-05,6.174848294904223e-06
12,0.0006093109841458499,0.0015037364792078733,0.0008944254950620234
13,3.1685360113442584e-07,5.970375127617444e-07,2.801839116273186e-07
14,8.043448906391859e-05,1.792078182916157e-05,6.251370723475702e-05
15,1.691146621851658e-06,9.255471923097502e-06,7.5643253012458445e-06
16,4.206432276987471e-05,8.291693666251376e-05,4.0852613892639056e-05
17,3.1392937671625987e-07,8.076313520177791e-07,4.937019753015193e-07
18,1.997728304559132e-06,4.11288283430622e-06,2.1151545297470875e-06
19,0.00047380695468746126,0.0004040743224322796,6.973263225518167e-05
20,9.881979349302128e-05,4.0402577724307775e-05,5.8417215768713504e-05
21,2.065482673785368e-09,8.030336395847826e-09,5.9648537220624576e-09
22,4.890531272394583e-06,6.158642918308033e-06,1.26811164591345e-06
23,3.1707850212114863e-06,1.0362784905737499e-06,2.1345065306377364e-06
24,1.582930849508557e-06,8.942553790802776e-07,6.886754704282794e-07
25,5.655939276039135e-06,2.921226496255258e-06,2.7347127797838766e-06
26,8.499206160195172e-06,1.2310649253777228e-05,3.8114430935820565e-06
27,0.0002628517395351082,9.341009717900306e-05,0.00016944164235610515
28,5.098551355331438e-06,4.172653916612035e-06,9.25897438719403e-07
29,1.982685262191808e-06,1.413100562785985e-06,5.695846994058229e-07
30,0.00019885695655830204,5.7854947954183444e-05,0.0001410020086041186
31,0.00010090210707858205,9.013479575514793e-05,1.0767311323434114e-05
32,2.0204856809868943e-06,2.627613866934553e-06,6.071281859476585e-07
33,8.613900718046352e-06,6.121506885392591e-06,2.492393832653761e-06
34,1.8541719555287273e-06,8.580515896028373e-06,6.726343940499646e-06
35,1.9472749954729807e-06,4.623333552444819e-06,2.6760585569718387e-06
36,5.380723564485379e-07,1.7887215335576911e-06,1.2506491771091532e-06
37,1.854359288699925e-05,4.649637048714794e-06,1.3893955838284455e-05
38,1.120915044339199e-06,5.958740985079203e-07,5.250409458312788e-07
39,2.509251316951122e-06,6.783832873225037e-07,1.8308680296286184e-06
40,8.73850967764156e-06,1.0643068890203722e-05,1.9045592125621624e-06
41,1.3352530459087575e-07,6.133828378551698e-07,4.79857533264294e-07
42,6.948757072677836e-05,4.250145866535604e-05,2.6986112061422318e-05
43,1.564743570270366e-07,4.573594480916654e-07,3.008850910646288e-07
44,4.616945716406917e-06,1.1930469554499723e-06,3.423898760956945e-06
45,9.387407544636517e-07,1.8173493572248844e-06,8.786086027612328e-07
46,4.678251571021974e-05,3.7960355257382616e-05,8.822160452837124e-06
47,8.123912209612172e-09,2.3019815387215203e-07,2.2207424166253986e-07
48,4.248521236149827e-06,9.105982826440595e-06,4.857461590290768e-06
49,5.229317423527391e-08,1.6668185054413698e-08,3.562498918086021e-08
50,4.947464276483515e-06,2.476006329743541e-06,2.4714579467399744e-06
51,1.0471546829649014e-06,9.079436722458922e-07,1.392110107190092e-07
52,0.00035533629124984145,0.00013025710359215736,0.0002250791876576841
53,1.2579055237438297e-06,2.4157313305295247e-07,1.0163323906908772e-06
54,0.000374961004126817,0.00019774306565523148,0.0001772179384715855
55,5.744303416577168e-05,0.0004634133947547525,0.00040597036058898084
56,4.479503331822343e-05,2.3274889827007428e-05,2.1520143491216004e-05
57,1.5640804122085683e-05,9.371455234941095e-06,6.269348887144588e-06
58,9.462754064770706e-07,4.287938963898341e-07,5.174815100872365e-07
59,1.6040810635331582e-07,7.577456813123717e-07,5.973375749590559e-07
60,1.9436270122241694e-06,1.1854476724693086e-06,7.581793397548608e-07
61,1.9510873698891373e-06,1.2554445447676699e-06,6.956428251214675e-07
62,3.928528713004198e-06,3.3214553241123213e-06,6.070733888918767e-07
63,0.0002357616031076759,0.00048355074250139296,0.00024778913939371705
64,1.2390116808091989e-06,8.232387926909723e-07,4.1577288811822655e-07
65,0.00018761871615424752,0.01168398093432188,0.011496362218167633
66,2.5633391487644985e-05,3.1089271033124533e-06,2.2524464384332532e-05
67,8.216734954658023e-07,8.297033673443366e-06,7.475360177977564e-06
68,9.963215416064486e-05,7.617201481480151e-05,2.3460139345843345e-05
69,1.5842864513615496e-06,3.6554749840433942e-06,2.0711885326818447e-06
70,3.089939184519608e-07,1.5449152215296635e-06,1.2359213030777028e-06
71,3.4557356229925063e-06,5.359284386940999e-06,1.9035487639484927e-06
72,6.440917559302761e-07,8.798217550065601e-07,2.35729999076284e-07
73,0.0003419143322389573,0.8771897554397583,0.8768478411075193
74,0.00018084819021169096,0.0006265591364353895,0.00044571094622369856
75,2.1682458850591502e-07,2.105322209899896e-06,1.8884976213939808e-06
76,9.388575676894106e-07,1.4904785530234221e-06,5.516209853340115e-07
77,3.996961822849698e-06,0.9998812675476074,0.9998772705857846
78,2.5703286610223586e-07,1.359133960932013e-07,1.2111947000903456e-07
79,0.0004696639080066234,0.03945043310523033,0.03898076919722371
80,9.418829449714394e-07,5.588804469880415e-06,4.646921524908976e-06
81,1.1109351362392772e-05,1.067898210749263e-05,4.3036925490014255e-07
82,4.3374093365855515e-06,8.059824722295161e-06,3.72241538570961e-06
83,2.840563411155017e-06,4.910019470116822e-06,2.069456058961805e-06
84,1.4205923548615829e-07,2.7323838480697304e-07,1.3117914932081476e-07
85,1.3471183137880871e-06,8.221527423302177e-06,6.87440910951409e-06
86,1.178318825623137e-06,9.507086360827088e-06,8.328767535203951e-06
87,1.8894599634222686e-05,9.653575034462847e-06,9.24102459975984e-06
88,3.41037884936668e-05,5.764915840700269e-05,2.354536991333589e-05
89,7.3301162046846e-06,3.6294009078119416e-06,3.7007152968726587e-06
90,9.633512263462762e-07,5.728536507376703e-07,3.90497575608606e-07
91,3.1522656627203105e-06,8.322957728523761e-05,8.00773116225173e-05
92,3.7055815482744947e-06,5.556385076488368e-06,1.8508035282138735e-06
93,2.628999027365353e-06,1.1502806955832057e-06,1.4787183317821473e-06
94,4.208975951769389e-06,9.201678039971739e-06,4.99270208820235e-06
95,4.2643554479582235e-05,7.137365901144221e-05,2.873010453185998e-05
96,2.2649296624877024e-06,2.6184980583821016e-07,2.0030798566494923e-06
97,3.3290021406173764e-07,1.1290861721136025e-06,7.961859580518649e-07
98,4.251569043844938e-05,4.394898496684618e-05,1.4332945283968002e-06
99,0.0002636259014252573,0.0001279903663089499,0.00013563553511630744
100,4.1758610791475803e-07,1.143799181591021e-06,7.262130736762629e-07
101,3.5723305700230412e-06,1.4234569789550733e-06,2.148873591067968e-06
